title,thumbnail,pub_date,eric,zenodo,notes
2021 Annual Report,2021---Annual-Report.png,2022,,https://zenodo.org/record/7706074,
2020 Annual Report,2020---Annual-Report.png,2021,,https://zenodo.org/record/7706067,
2017 Annual Report,2017---Annual-Report.png,2017,,https://zenodo.org/record/7706059,
2016 Annual Report,2016---Annual-Report.png,2016,,https://zenodo.org/record/7706053,
2015 Annual Report,2015---Annual-Report.png,2015,,https://zenodo.org/record/7706051,
2014 Annual Report,2014---Annual-Report.png,2014,,https://zenodo.org/record/7706047,
2013 Annual Report,2013---Annual-Report.png,2013,,https://zenodo.org/record/7706043,
2012 Annual Report,2012---Annual-Report.png,2012,,https://zenodo.org/record/7706043,
2011 Annual Report,2011---Annual-Report.png,2011,,https://zenodo.org/record/7706023,
2010 Annual Report,2010---Annual-Report.png,2010,,https://zenodo.org/record/7706019,
2009 Annual Report,2009---Annual-Report.png,2009,,https://zenodo.org/record/7706014,
2008 Annual Report,2008---Annual-Report.png,2008,ED505356,https://zenodo.org/record/7706010,
2007 Annual Report,2007---Annual-Report.png,2007,ED499382,https://zenodo.org/record/7706004,
2005 Annual Report,2005---Annual-Report.png,2005,,https://zenodo.org/record/7706002,
2004 Annual Report,2004---Annual-Report.png,2004,,https://zenodo.org/record/7705998,
2003 Annual Report,2003---Annual-Report.png,2003,,https://zenodo.org/record/7705996,
2002 Annual Report,2002---Annual-Report.png,2002,,https://zenodo.org/record/7705992,
2001 Annual Report,2001---Annual-Report.png,2001,ED457866,https://zenodo.org/record/7705988,
2000 Annual Report,2000---Annual-Report.png,2000,ED446776,https://zenodo.org/record/7705982,
1999 Annual Report,1999---Annual-Report.png,1999,ED437949,https://zenodo.org/record/7705970,
1998-1999 Annual Report,1998---1999-Annual-Report.png,1998,ED425745,https://zenodo.org/record/7705949,
1997-1998 Annual Report,1997---1998-Annual-Report.png,1997,ED414915,https://zenodo.org/record/7705945,
1996-1997 Annual Report,1996---1997-Annual-Report.png,1996,ED402929,https://zenodo.org/record/7705937,
39th Annual Report,1995---39th-Annual-Report.png,1995,ED389340,https://zenodo.org/record/7705935,
1995-1996 Annual Report,1995---1996-Annual-Report.png,1995,,https://zenodo.org/record/7705928,
38th Annual Report,1994---38th-Annual-Report.png,1994,ED377885,https://zenodo.org/record/7705922,
1994-1995 Annual Report,1994---1995-Annual-Report.png,1994,,https://zenodo.org/record/7705920,
37th Annual Report,1993---37th-Annual-Report.png,1993,ED368376,https://zenodo.org/record/7705913,
1993-1994 Annual Report,1993---1994-Annual-Report.png,1993,,https://zenodo.org/record/7705905,
36th Annual Report,1992---36th-Annual-Report.png,1992,,https://zenodo.org/record/7705899,
1992-1993 Annual Report,1992---1993-Annual-Report.png,1992,,https://zenodo.org/record/7705885,
35th Annual Report,1991---35th-Annual-Report.png,1991,ED375851,https://zenodo.org/record/7705880,
1991-1992 Annual Report,1991---1992-Annual-Report.png,1991,ED352984,https://zenodo.org/record/7705876,
34th Annual Report,1990---34th-Annual-Report.png,1991,ED351015,https://zenodo.org/record/7705867,
1990-1991 Annual Report,1990---1991-Annual-Report.png,1991,ED328264,https://zenodo.org/record/7705859,
33rd Annual Report,1989---33rd-Annual-Report.png,1990,ED315086,https://zenodo.org/record/7705849,
32nd Annual Report,1988---32nd-Annual-Report.png,1988,,https://zenodo.org/record/7705837,
1988-1989 Annual Report,1988---1989-Annual-Report.png,1988,,https://zenodo.org/record/7705859,
31st Annual Report,1987---31st-Annual-Report.png,1987,,https://zenodo.org/record/7705829,
30th Annual Report,1986---30th-Annual-Report.png,1986,ED276456,https://zenodo.org/record/7705788,
29th Annual Report,1985---29th-Annual-Report.png,1985,ED266804,https://zenodo.org/record/7705746,
28th Annual Report,1984---28th-Annual-Report.png,1984,ED252240,https://zenodo.org/record/7705679,
27th Annual Report,1983---27th-Annual-Report.png,1983,ED243477,https://zenodo.org/record/7705640,
1983-1984 Annual Report to Foundations,1983---1984-Annual-Report-to-Foundations.png,1983,,https://zenodo.org/record/7705449,
26th Annual Report,1982---26th-Annual-Report.png,1982,ED232675,https://zenodo.org/record/7703093,
25th Annual Report,1981---25th-Annual-Report.png,1981,ED219075,https://zenodo.org/record/7640335,
1981-1982 Annual Report to Foundations,1981---1982-Annual-Report-to-Foundations.png,1981,,https://zenodo.org/record/7703080,
24th Annual Report,1980---24th-Annual-Report.png,1980,ED202460,https://zenodo.org/record/7640072,
1980-1981 Annual Report to Foundations,1980---1981-Annual-Report-to-Foundations.png,1980,,https://zenodo.org/record/7640036,
1979 Bibliographic Service Development Program,1979---Bibliographic-Service-Development-Program.png,1979,,https://zenodo.org/record/7640005,
23rd Annual Report,1979---23rd-Annual-Report.png,1979,ED188574,https://zenodo.org/record/7637582,
1979-1980 Annual Report to Foundations,1979---1980-Annual-Report-to-Foundations.png,1979,,https://zenodo.org/record/7637544,
22nd Annual Report,1978---22nd-Annual-Report.png,1978,ED168495,https://zenodo.org/record/7637430,
21st Annual Report,1977---21st-Annual-Report.png,1977,,https://zenodo.org/record/7622837,
1977 -1978 Report to the Ford Foundation,1977---1978-Report-to-the-Ford-Foundation.png,1977,,https://zenodo.org/record/7637428,
20th Annual Report,1976---20th-Annual-Report.png,1976,ED138249,https://zenodo.org/record/7622570,
19th Annual Report,1975---19th-Annual-Report.png,1975,ED119652,https://zenodo.org/record/7622551,
1975-1976 Report to the Ford Foundation,1975---1976-Report-to-the-Ford-Foundation.png,1975,,https://zenodo.org/record/7622547,
1974-1975 Report to the Ford Foundation,1974---1975-Report-to-the-Ford-Foundation.png,1974,,https://zenodo.org/record/7622517,
18th Annual Report,1974---18th-Annual-Report.png,1974,ED100328,https://zenodo.org/record/7622501,
A Review of Its Work,1973---A-Review-of-Its-Work.png,1973,,https://zenodo.org/record/7622485,
17th Annual Report,1973---17th-Annual-Report.png,1973,ED087489,https://zenodo.org/record/7622469,
16th Annual Report,1972---16th-Annual-Report.png,1972,,https://zenodo.org/record/7622434,
15th Annual Report,1971---15th-Annual-Report.png,1971,ED061966,https://zenodo.org/record/7622419,
14th Annual Report,1970---14th-Annual-Report.png,1970,ED049798,https://zenodo.org/record/7622349,
13th Annual Report,1969---13th-Annual-Report.png,1969,,https://zenodo.org/record/7622315,
12th Annual Report,1968---12th-Annual-Report.png,1968,,https://zenodo.org/record/7622304,
11th Annual Report,1967---11th-Annual-Report.png,1967,,https://zenodo.org/record/7622296,
10th Annual Report,1966---10th-Annual-Report.png,1966,,https://zenodo.org/record/7622288,
9th Annual Report,1965---9th-Annual-Report.png,1965,,https://zenodo.org/record/7622280,
8th Annual Report,1964---8th-Annual-Report.png,1964,,https://zenodo.org/record/7622259,
7th Annual Report,1963---7th-Annual-Report.png,1963,,https://zenodo.org/record/7622035,
6th Annual Report,1962---6th-Annual-Report.png,1962,,https://zenodo.org/record/7621994,
5th Annual Report,1961---5th-Annual-Report.png,1961,,https://zenodo.org/record/7621881,
Reports of Projects and Publications Resulting from Projects,1960---Reports-of-Projects-and-Publications-Resulting-from-Projects.png,1960,,https://zenodo.org/record/7621797,
4th Annual Report,1960---4th-Annual-Report.png,1960,,https://zenodo.org/record/7621494,
3rd Annual Report,1959---3rd-Annual-Report.png,1959,,https://zenodo.org/record/7621373,
2nd Annual Report,1958---2nd-Annual-Report.png,1958,,https://zenodo.org/record/7621352,
1st Annual Report,1957---1st-Annual-Report.png,1957,,https://zenodo.org/record/7621294,
